data,label
"Servicios Globales S.A. enfrenta una acción legal presentada por Juan Pérez, quien reclama que los servicios de consultoría técnica contratados no fueron entregados conforme a lo estipulado en el acuerdo, generando importantes pérdidas económicas.",demanda
"En relación con la compraventa del inmueble en Av. Libertador 1234, Carlos Gómez ha iniciado un proceso judicial contra Empresa ABC Ltda., alegando la existencia de vicios ocultos que comprometen el valor de la propiedad adquirida.",demanda
"Pedro Sánchez ha decidido proceder legalmente contra María López, argumentando que las condiciones del departamento arrendado en Calle Falsa 742 no cumplen con los estándares mínimos de habitabilidad, a pesar de haber informado previamente sobre los problemas.",demanda
"Un conflicto laboral surge entre Sofía Martínez y Comercializadora XYZ S.R.L. tras un despido que ella considera injustificado, señalando que no se respetaron las condiciones pactadas en el contrato inicial.",demanda
"Data Solutions S.A. busca reparaciones legales frente a TechSoft Corp., alegando que el software ""Gestión Pro"" carece de las funcionalidades anunciadas, afectando su capacidad operativa y económica.",demanda
"Tras un tratamiento médico fallido, Lucía Fernández ha iniciado acciones legales contra Clínica Salud Integral S.A., alegando negligencia médica que resultó en daños permanentes a su salud.",demanda
"Restaurantes Urbanos S.A. acusa a Burger Planet Inc. de no cumplir con los términos del contrato de franquicia, especialmente en lo referente a la provisión de insumos esenciales para operar en Córdoba.",demanda
"La relación entre Alejandro Ruiz y Marina Torres, socios de AR Servicios Generales S.R.L., se deteriora luego de que ambos acusaran mutuamente la mala administración de los fondos de la sociedad, derivando en una demanda.",demanda
"FabriTextiles Ltda. reporta daños significativos a sus bienes durante el transporte realizado por Logística Integral S.A., motivo por el cual ha llevado el caso a instancias legales.",demanda
"Un acuerdo de donación entre Federico Martínez y Fundación Esperanza se ve frustrado al no cumplirse con la transferencia de fondos prometida, lo que ha motivado una demanda por parte de la fundación.",demanda
"En el marco de un fideicomiso, Laura Gutiérrez alega irregularidades en la gestión de sus bienes por parte del fiduciario, Banco de Córdoba S.A., y busca justicia mediante una acción judicial.",demanda
"Un desacuerdo comercial surge cuando Distribuidora Nova reclama que ElectroMundo S.A. entregó productos que no cumplían con los estándares acordados, generando pérdidas significativas para la distribuidora.",demanda
"Roberto Álvarez acusa a Estudio Jurídico Martínez y Asociados de negligencia profesional, señalando que una mala representación legal le ocasionó un perjuicio económico severo.",demanda
"Soluciones Técnicas S.A. enfrenta una demanda presentada por Edificios Torre Central, que reclama el incumplimiento de los términos acordados para el mantenimiento de los sistemas eléctricos del edificio.",demanda
Digital Solutions Ltd. busca responsabilizar a Global Networks Inc. por el incumplimiento en la ejecución de los proyectos tecnológicos definidos en un acuerdo de colaboración a largo plazo.,demanda
"Industrias del Norte S.A. es señalada por Carlos Torres, quien reclama el pago de comisiones que no le fueron otorgadas pese a su desempeño como representante comercial en Chile.",demanda
"Una disputa sobre derechos de autor lleva a Eduardo Pérez a demandar a Juan López, señalando que la cesión de la obra literaria ""El Arte de Crear"" no se cumplió según lo pactado.",demanda
"CineArte S.A. enfrenta una acción judicial interpuesta por Carlos Navarro, quien alega demoras injustificadas en la entrega del documental acordado en el contrato de producción.",demanda
"Luis Fernández inicia un proceso judicial contra Ana Ruiz tras discrepancias sobre los términos de un acuerdo de permuta de bienes inmuebles que, según él, no se respetaron.",demanda
Obras Viales S.A. y Infraestructura Regional S.R.L. entran en disputa luego de que el subcontratista acusara al contratista principal de no cumplir con los pagos acordados para la pavimentación de un tramo de carretera.,demanda
"Ecomarket S.A. ha iniciado una demanda contra Distribuciones Globales, alegando que los productos suministrados no cumplen con los estándares de calidad establecidos en el contrato de compraventa.",demanda
"José Martínez ha llevado a cabo una acción legal contra Centro Médico SaludPlus, debido a que una operación quirúrgica resultó en complicaciones que no fueron adecuadamente informadas ni tratadas.",demanda
"Un grupo de empleados de Industria Textil ha demandado a la empresa por no cumplir con las condiciones de seguridad laboral acordadas, lo que resultó en varios accidentes de trabajo.",demanda
"Distribuciones Modernas S.A. demanda a Comercializadora S.A., alegando incumplimiento en la entrega de maquinaria que había sido previamente acordada para su planta de producción.",demanda
Inmobiliaria Sierpe ha demandado a Constructora ABC debido a defectos graves en la estructura de varios edificios que fueron entregados por fuera del plazo establecido.,demanda
"María Rodríguez ha interpuesto una demanda contra su arrendador, Carlos Fernández, debido a la falta de mantenimiento de la vivienda que alquilaba, afectando su calidad de vida.",demanda
"Sistemas Avanzados demanda a RedTech S.A., argumentando que el software de gestión adquirido no es compatible con los sistemas previamente instalados en la empresa.",demanda
"Elena Gómez ha iniciado un proceso legal contra Salud Global S.A., alegando que un diagnóstico erróneo de una enfermedad grave le causó daño emocional y físico innecesario.",demanda
Transportes Rápidos S.A. demanda a Logística Universal S.R.L. por la pérdida de mercancías en el traslado de productos esenciales para su operación comercial.,demanda
"José Luis Pérez demandó a Supermercado Central S.A. tras sufrir un accidente en uno de sus pasillos, donde resbaló debido a la falta de señalización de un área mojada.",demanda
"InnovarTech ha presentado una demanda contra Soluciones IT, debido a que el equipo informático adquirido no cumplió con las especificaciones prometidas en el contrato.",demanda
"Comercializadora Quintero S.A. ha demandado a Logística Global S.A. por demoras significativas en la entrega de productos esenciales, lo que afectó las operaciones comerciales de la empresa.",demanda
"Hospital Santa Clara enfrenta una demanda por parte de Luis Pérez, quien alega que la negligencia de los médicos durante su tratamiento de urgencias resultó en una complicación irreversible.",demanda
"AgroProductos S.A. demanda a Fertilizantes del Norte, ya que el fertilizante entregado no cumplió con los niveles de calidad pactados, afectando gravemente la cosecha de los agricultores.",demanda
"Pedro Díaz ha presentado una demanda contra Inmobiliaria Bellavista, argumentando que las condiciones del apartamento que alquiló no eran habitables como se prometió.",demanda
"Consultora Creativa S.A. ha demandado a Diseños Globales debido a que no se cumplió con el plazo de entrega acordado para un proyecto de diseño gráfico, causando pérdidas económicas.",demanda
Fábrica Textil del Sur demanda a Logística Express por un error en el transporte que resultó en daños irreparables a varios lotes de tela importada.,demanda
"Comercial Import S.A. ha iniciado una demanda contra Servicios Logísticos S.A., debido a la entrega incorrecta de productos en mal estado que afectaron la cadena de distribución.",demanda
"Bodega El Paraíso demanda a Proveedores del Valle S.A., debido a que los insumos entregados para la producción vinícola no estaban a la altura de los estándares requeridos para la fabricación de sus productos.",demanda
"Carpintería Soluciones ha presentado una demanda contra Distribuciones de Madera S.A., por entrega de materiales defectuosos que perjudicaron la producción de muebles para una importante cadena de tiendas.",demanda
"Federico Gómez demanda a Electrodomésticos Nacionales por la venta de un televisor defectuoso, que dejó de funcionar dentro del mes de garantía, pese a no haberse utilizado de manera incorrecta.",demanda
"Nutrimed S.A. ha interpuesto una acción legal contra Laboratorios Innovar, debido a la falsificación de productos que fueron etiquetados como suplementos alimenticios de alta calidad, pero no cumplen con las especificaciones.",demanda
"Construcciones del Valle enfrenta una demanda por parte de Marcos Ramírez, quien acusa que la empresa no cumplió con las condiciones de los planos y acabados de su hogar, a pesar de haber pagado por materiales de primera calidad.",demanda
"Estudio Jurídico Martínez & Asociados ha demandado a Consultora Legal Global por plagio de documentación confidencial, lo que ha puesto en riesgo varios casos y clientes de la firma.",demanda
"Ana María Pérez ha iniciado un proceso judicial contra Alquileres Rápidos S.A., alegando que los bienes arrendados se encontraban en condiciones pésimas y que el arrendador no cumplió con las reparaciones acordadas.",demanda
María Fernández demanda a Servicios de Salud Integral S.A. por negligencia en el tratamiento de un embarazo de alto riesgo que terminó en complicaciones graves para ella y su bebé.,demanda
"Comercializadora Internacional ha demandado a Proveedores Unidos por el retraso en la entrega de componentes clave para la fabricación de sus productos, lo que afectó su capacidad de cumplir con los plazos de entrega a sus clientes.",demanda
"Sistemas y Soluciones S.A. ha interpuesto una demanda contra Tecnología Avanzada por incumplir un contrato de mantenimiento preventivo de equipos informáticos, lo que ha provocado pérdidas operativas.",demanda
"Luis González ha iniciado una demanda contra Bicicross S.A., tras sufrir un accidente debido a la mal ensamblada bicicleta que compró, lo que le causó múltiples fracturas.",demanda
"Transporte Rápido S.A. ha presentado una acción legal contra Carga Global S.R.L. por daños a la carga que transportaba, que resultó en la pérdida de productos perecederos de gran valor.",demanda
"Alimentos Sanos S.A. demanda a Distribuidora del Sur por la entrega de productos vencidos, lo que afectó seriamente la reputación de la empresa y provocó retiradas del mercado.",demanda
"Fabrica Del Sol ha demandado a Distribuciones Patagónicas por incumplir los términos de entrega de materias primas para la producción de muebles de madera, afectando los tiempos de fabricación.",demanda
"Carlos López ha presentado una demanda contra Ingeniería de Construcción S.A., debido a que las obras realizadas en su casa presentan grietas y fallas estructurales a poco tiempo de haber sido entregadas.",demanda
"Innovación Digital demanda a Redes Globales S.A., por la pérdida de datos importantes almacenados en los servidores de la empresa debido a la falta de mantenimiento adecuado.",demanda
Muebles y Decoración ha iniciado una demanda contra Distribuidora de Maderas S.A. debido a que las tablas de madera entregadas no cumplían con las especificaciones de tamaño y calidad acordadas.,demanda
"Federico Díaz ha demandado a Comercialización Automotriz S.A. por un defecto de fábrica en un automóvil que adquirió, el cual presentó fallos mecánicos repetidos desde el primer mes.",demanda
"Supermercado La Estrella ha interpuesto una demanda contra Productores Agropecuarios S.A., alegando que los productos orgánicos suministrados no cumplían con las certificaciones de calidad, lo que afectó su imagen ante los clientes.",demanda
"Casa de Reparaciones S.A. ha presentado una demanda contra Tecnología Global S.A., por la entrega de maquinaria defectuosa que impidió la correcta operación de su taller.",demanda
"Salud Total S.A. ha demandado a Sanatorios del Centro, alegando que el tratamiento de rehabilitación que recibieron varios pacientes no fue el adecuado, lo que prolongó su tiempo de recuperación.",demanda
"Soluciones en Robótica S.A. ha interpuesto una demanda contra Electrocomponentes S.A. por la entrega de piezas defectuosas que inutilizaron varios de sus robots industriales, afectando la producción.",demanda
"El cliente, Juan Pérez, y el proveedor, Servicios Globales S.A., convienen en la prestación de servicios de consultoría técnica, según los términos especificados en este documento. Este contrato tendrá una vigencia de 12 meses y podrá ser renovado mediante acuerdo mutuo.",contrato
"El vendedor, Empresa ABC Ltda., y el comprador, Carlos Gómez, acuerdan la compraventa de un inmueble ubicado en Av. Libertador 1234, Ciudad de Buenos Aires. El precio total será de USD 150,000, pagaderos en tres cuotas.",contrato
"El arrendador, María López, y el arrendatario, Pedro Sánchez, acuerdan el arriendo de un departamento ubicado en Calle Falsa 742, por un plazo de 24 meses, con un canon mensual de USD 500.",contrato
"El empleador, Comercializadora XYZ S.R.L., y el empleado, Sofía Martínez, convienen en establecer una relación laboral bajo los términos especificados en este contrato, con una remuneración mensual de USD 1,200.",contrato
"El licenciante, TechSoft Corp., otorga al licenciatario, Data Solutions S.A., una licencia no exclusiva para el uso del software ""Gestión Pro"", bajo las condiciones estipuladas en este documento.",contrato
"El prestador, Clínica Salud Integral S.A., y el paciente, Lucía Fernández, convienen en la prestación de servicios médicos especializados durante un periodo de 6 meses.",contrato
"El franquiciante, Burger Planet Inc., concede al franquiciado, Restaurantes Urbanos S.A., los derechos para operar bajo su marca en la ciudad de Córdoba, Argentina, según las condiciones descritas.",contrato
"Los socios, Alejandro Ruiz y Marina Torres, convienen en la formación de una sociedad limitada bajo el nombre AR Servicios Generales S.R.L., con sede en Mendoza, Argentina.",contrato
